name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
jEdit,3.2.1,bsh.ASCII_UCodeESC_CharStream,27,1,0,3,40,25,3,0,21,0.529411765,1277,0.705882353,0,0.0,0.296296296,0,0,45.66666667,7,1.5926,0
jEdit,3.2.1,bsh.BlockNameSpace,3,2,0,4,10,3,2,2,2,2.0,40,0.0,0,0.96,0.583333333,0,0,12.33333333,2,1.0,0
jEdit,3.2.1,bsh.BSHAllocationExpression,8,2,0,18,37,28,1,17,1,2.0,271,0.0,0,0.72,0.363636364,1,1,32.875,1,0.875,0
jEdit,3.2.1,bsh.BSHAmbiguousName,7,2,0,16,17,19,8,8,6,0.333333333,53,0.0,0,0.75,0.457142857,1,1,6.428571429,1,0.8571,0
jEdit,3.2.1,bsh.BSHArguments,2,2,0,10,6,1,5,5,1,2.0,30,0.0,0,0.947368421,0.625,0,0,14.0,1,0.5,0
jEdit,3.2.1,bsh.BSHArrayDimensions,4,2,0,10,21,2,2,8,3,0.5555555560000001,174,0.333333333,0,0.857142857,0.5,1,1,41.75,1,0.75,0
jEdit,3.2.1,bsh.BSHArrayInitializer,4,2,0,10,23,6,3,7,2,2.0,175,0.0,0,0.857142857,0.583333333,1,1,42.75,1,0.75,0
jEdit,3.2.1,bsh.BSHAssignment,3,2,0,11,18,3,1,10,1,1.0,273,0.0,0,0.9,0.533333333,1,1,89.66666667,1,0.6667,0
jEdit,3.2.1,bsh.BSHBinaryExpression,4,2,0,12,21,6,1,11,1,1.0,279,0.0,0,0.857142857,0.45,1,1,68.5,4,2.25,0
jEdit,3.2.1,bsh.BSHBlock,3,2,0,14,10,3,5,9,2,2.0,63,0.0,0,0.9,0.6,1,1,20.0,1,0.6667,0
jEdit,3.2.1,bsh.BSHCastExpression,6,2,0,16,45,15,3,13,6,2.0,280,0.0,0,0.7826086959999999,0.229166667,1,1,45.66666667,1,0.8333,0
jEdit,3.2.1,bsh.BshClassManager,25,1,0,10,37,290,7,3,22,0.8888888890000001,161,1.0,1,0.0,0.157407407,0,0,5.2,3,1.16,0
jEdit,3.2.1,bsh.BSHFormalParameter,3,2,0,9,7,1,3,6,1,1.0,30,0.0,0,0.947368421,0.666666667,1,2,8.0,1,0.3333,0
