0	1781 1781 2 0 
1	268 241 1028 7 
2	37 7 8 0 106 0 0 
3	1 1 
4	391 0 724 0 92 0 392 0 724 0 392 0 0 25 0 0 0 0 724 0 0 724 0 839 0 0 148 0 28 0 148 0 0 25 0 0 0 840 0 0 840 0 0 28 0 1782 0 0 0 28 0 21 0 0 0 28 0 0 28 0 21 0 0 28 0 1783 0 0 1029 0 0 1030 206 0 0 548 206 0 0 548 429 0 0 0 0 1784 0 1315 0 1031 0 0 841 0 269 0 0 0 0 1316 1317 0 1032 0 842 486 0 1318 1319 0 0 0 1320 0 0 0 1321 0 1321 0 487 0 0 
5	242 99 0 
6	197 197 197 32 0 2 1 197 32 0 181 0 2 1 1 197 181 0 2 1 0 
7	634 7 3 0 3 634 32 0 8 0 2 430 1 1 2 1 1 634 32 0 8 0 181 0 2 430 1 1 1 2 1 1 191 0 4 1 1322 0 32 0 8 0 4 1 1 0 
8	1785 1785 38 0 2 1 1785 38 0 1033 0 2 1 1 0 0 0 
9	214 0 242 38 0 91 0 0 28 0 0 
10	1 1 1 1 0 0 
11	0 0 
12	1 1 1 
13	117 7 1323 0 93 0 93 0 57 0 93 0 8 0 214 0 134 0 0 138 0 0 29 0 549 0 0 1034 725 0 242 38 0 332 0 635 38 0 1035 7 0 
14	1 1 1 1 0 0 
15	0 3 0 3 0 3 550 0 1036 57 0 726 0 25 0 726 0 25 0 35 0 0 488 25 0 24 0 1324 0 25 0 843 0 0 0 431 0 1786 139 0 252 0 252 0 489 7 1787 490 0 393 0 393 0 489 7 1325 0 12 0 7 1788 7 332 0 108 0 253 0 551 157 0 0 0 1789 0 163 0 
16	0 0 0 0 3 63 0 0 0 0 308 62 9 33 0 7 308 62 4 62 4 7 308 62 4 62 4 7 308 62 4 62 4 0 0 4 15 1 0 24 0 10 4 198 1 11 12 9 33 0 1 13 16 0 3 243 5 0 3 2 17 1 1 0 3 52 207 
